party,AGH_WK,registered_voters,predicted_share,lo,hi
LINKE,0801,31347,28.0,27.8,28.7
SPD,0801,31347,9.2,9.0,9.4
Sonstige,0801,31347,8.9,8.6,9.2
CDU,0801,31347,6.8,5.7,7.2
AFD,0801,31347,5.3,4.7,5.5
FDP,0801,31347,2.3,1.9,2.5
GRUENE,0802,31401,35.9,35.5,36.4
LINKE,0802,31401,28.7,28.5,29.6
Sonstige,0802,31401,8.8,8.3,9.4
SPD,0802,31401,8.8,8.6,9.0
CDU,0802,31401,5.8,4.3,6.1
AFD,0802,31401,4.9,4.3,5.3
FDP,0802,31401,2.2,1.9,2.4
GRUENE,0803,32766,23.0,22.7,23.2
LINKE,0803,32766,21.5,21.3,21.9
CDU,0803,32766,15.2,13.7,15.4
SPD,0803,32766,11.8,11.6,11.9
Sonstige,0803,32766,10.7,10.3,11.1
AFD,0803,32766,9.5,8.8,9.9
FDP,0803,32766,2.6,2.3,2.8
CDU,0804,32449,32.6,32.1,32.8
SPD,0804,32449,16.4,16.1,16.8
AFD,0804,32449,15.5,14.9,16.0
Sonstige,0804,32449,9.1,8.9,9.2
LINKE,0804,32449,9.0,8.9,9.2
GRUENE,0804,32449,6.7,6.0,7.3
FDP,0804,32449,3.8,3.7,3.8
CDU,0805,32698,33.4,33.0,34.3
SPD,0805,32698,15.6,15.3,15.8
AFD,0805,32698,14.4,13.7,14.9
GRUENE,0805,32698,9.6,9.0,9.8
Sonstige,0805,32698,8.6,8.4,8.7
LINKE,0805,32698,8.4,8.3,8.5
FDP,0805,32698,4.0,3.8,4.1
CDU,0806,32450,35.6,35.3,37.0
SPD,0806,32450,15.1,14.8,15.2
AFD,0806,32450,14.8,14.3,15.3
Sonstige,0806,32450,8.5,8.3,8.7
LINKE,0806,32450,7.3,7.1,7.4
GRUENE,0806,32450,7.3,6.6,7.8
FDP,0806,32450,4.1,4.0,4.2
LINKE,0901,28145,26.6,26.4,27.1
GRUENE,0901,28145,22.9,22.5,23.1
CDU,0901,28145,13.9,11.6,14.1
Sonstige,0901,28145,11.7,11.5,11.9
SPD,0901,28145,10.9,10.6,11.0
AFD,0901,28145,10.5,10.3,10.8
FDP,0901,28145,2.7,2.4,2.8
LINKE,0902,27134,23.4,23.3,23.9
CDU,0902,27134,17.3,15.3,17.5
GRUENE,0902,27134,17.0,16.8,17.2
Sonstige,0902,27134,13.9,13.7,14.1
AFD,0902,27134,13.6,13.4,13.8
SPD,0902,27134,11.8,11.6,11.9
FDP,0902,27134,2.9,2.7,3.0
CDU,0903,28747,22.8,21.4,22.9
LINKE,0903,28747,20.1,20.0,20.4
AFD,0903,28747,14.4,14.2,14.7
SPD,0903,28747,13.2,13.0,13.3
GRUENE,0903,28747,13.1,13.0,13.3
Sonstige,0903,28747,12.4,12.2,12.6
FDP,0903,28747,3.1,2.8,3.2
CDU,0904,31502,30.1,28.5,30.2
AFD,0904,31502,20.3,19.4,21.4
LINKE,0904,31502,16.9,16.8,17.2
Sonstige,0904,31502,12.7,12.5,12.9
SPD,0904,31502,12.4,12.1,12.5
GRUENE,0904,31502,7.6,7.1,7.9
FDP,0904,31502,3.3,3.0,3.4
CDU,0905,30048,21.4,18.7,21.4
LINKE,0905,30048,20.6,20.5,20.9
AFD,0905,30048,15.2,15.0,15.4
GRUENE,0905,30048,13.1,12.8,13.3
Sonstige,0905,30048,13.0,12.8,13.2
SPD,0905,30048,12.8,12.5,12.9
FDP,0905,30048,3.1,2.9,3.2
CDU,0906,28678,24.3,21.4,24.8
LINKE,0906,28678,19.8,19.7,20.1
AFD,0906,28678,17.7,17.3,18.5
Sonstige,0906,28678,13.4,13.2,13.7
SPD,0906,28678,13.4,13.1,13.5
GRUENE,0906,28678,7.8,7.5,8.1
FDP,0906,28678,3.2,2.9,3.3
CDU,0907,31416,25.9,24.4,26.1
LINKE,0907,31416,20.3,20.1,20.6
AFD,0907,31416,15.8,15.5,16.0
SPD,0907,31416,12.8,12.5,12.9
GRUENE,0907,31416,11.7,11.3,11.9
